epoch,FinRecoModel_1_loss,FinRecoModel_2_loss,FinRecoModel_loss,loss
0,0.4900146424770355,0.5003964900970459,0.491428941488266,1.4818400144577026
1,0.5089449882507324,0.47325676679611206,0.5294474959373474,1.5116491317749023
2,0.5084928274154663,0.50580233335495,0.4811190366744995,1.495414137840271
3,0.503542959690094,0.4831892251968384,0.5184931755065918,1.5052255392074585
4,0.5396633744239807,0.5061513781547546,0.523970365524292,1.5697853565216064
5,0.49775850772857666,0.4961759150028229,0.49184638261795044,1.485780954360962
6,0.5045252442359924,0.5055725574493408,0.5071163773536682,1.5172141790390015
7,0.5020231008529663,0.5048655271530151,0.4954368472099304,1.5023255348205566
8,0.5012261867523193,0.4977186322212219,0.5012016892433167,1.500146508216858
9,0.4877972900867462,0.49731940031051636,0.501981794834137,1.4870986938476562
