epoch,FaceRecoModel_1_loss,FaceRecoModel_2_loss,FaceRecoModel_loss,loss
0,0.10007919371128082,0.09993681311607361,0.10011693835258484,0.3001329302787781
1,0.10005808621644974,0.10003819316625595,0.09998562186956406,0.30008190870285034
2,0.0999818965792656,0.09998838603496552,0.1000032126903534,0.2999734878540039
3,0.10001912713050842,0.0999913290143013,0.10003440082073212,0.30004483461380005
4,0.1000078022480011,0.10002565383911133,0.0999986082315445,0.3000320494174957
5,0.1000014990568161,0.10002167522907257,0.10001779347658157,0.30004096031188965
6,0.10000262409448624,0.09997597336769104,0.10001032799482346,0.29998889565467834
7,0.10000885277986526,0.10000655800104141,0.10000057518482208,0.30001601576805115
8,0.09998703002929688,0.0999942198395729,0.09997430443763733,0.2999555766582489
9,0.10002292692661285,0.09998205304145813,0.10001898556947708,0.3000239133834839
10,0.10005511343479156,0.09997779875993729,0.10001413524150848,0.30004703998565674
11,0.09999027848243713,0.10001779347658157,0.1000041514635086,0.3000122010707855
12,0.09999381750822067,0.09998838603496552,0.10000050812959671,0.2999827265739441
13,0.09999275207519531,0.09999693185091019,0.09999588876962662,0.2999855875968933
14,0.09998144954442978,0.10000395774841309,0.09999533742666245,0.2999807596206665
15,0.09996326267719269,0.10001789033412933,0.09995990991592407,0.2999410629272461
16,0.10004301369190216,0.09997715055942535,0.0999673455953598,0.2999875545501709
17,0.10000890493392944,0.10006389021873474,0.09996642172336578,0.30003923177719116
18,0.10001832246780396,0.09993720054626465,0.09996428340673447,0.2999197840690613
19,0.10001427680253983,0.09998009353876114,0.0999496653676033,0.29994404315948486
