epoch,loss
0,0.25710949301719666
1,0.2548331916332245
2,0.2566467821598053
3,0.2566225826740265
4,0.25622162222862244
5,0.2569998502731323
6,0.2573006749153137
7,0.25673702359199524
8,0.25608786940574646
9,0.25558680295944214
10,0.25643643736839294
11,0.2552075684070587
12,0.2563418745994568
13,0.2554434537887573
14,0.2541055977344513
15,0.25600314140319824
16,0.2558726668357849
17,0.25570404529571533
18,0.256399542093277
19,0.2572852373123169
20,0.25786465406417847
21,0.2576523423194885
22,0.25495997071266174
23,0.2547074556350708
24,0.2554698586463928
25,0.25756901502609253
26,0.254165381193161
27,0.25532788038253784
28,0.256112277507782
29,0.2566412687301636
30,0.25518402457237244
31,0.25477951765060425
32,0.2542307376861572
33,0.2552388906478882
34,0.25718414783477783
35,0.25764790177345276
36,0.2552289068698883
37,0.25757870078086853
38,0.2562156617641449
39,0.2541048526763916
40,0.25779807567596436
41,0.25685974955558777
42,0.256066232919693
43,0.25492823123931885
44,0.25544488430023193
45,0.2558426558971405
46,0.2588200569152832
47,0.2553848326206207
48,0.2556754946708679
49,0.2584894895553589
