epoch,FinRecoModel_1_loss,FinRecoModel_2_loss,FinRecoModel_loss,loss
0,0.2999889850616455,0.2999991178512573,0.2999996542930603,0.8999878168106079
1,0.2999630868434906,0.29999011754989624,0.30001044273376465,0.8999636173248291
2,0.2999868094921112,0.2999982535839081,0.2999829947948456,0.8999680876731873
3,0.3000275194644928,0.3000227212905884,0.2998610734939575,0.899911105632782
4,0.3002091646194458,0.29998794198036194,0.3003075420856476,0.9005045890808105
5,0.3000403940677643,0.2999733090400696,0.3000328242778778,0.9000465273857117
6,0.29999491572380066,0.3000127077102661,0.299996942281723,0.9000043869018555
7,0.2999981939792633,0.2999933063983917,0.30000901222229004,0.9000004529953003
8,0.2999955713748932,0.3000001907348633,0.29999086260795593,0.8999866247177124
9,0.2999911606311798,0.2999884784221649,0.2999894320964813,0.8999689817428589
10,0.3000383675098419,0.3000464141368866,0.3000083267688751,0.9000930190086365
11,0.2999853491783142,0.299996942281723,0.3000054359436035,0.8999876379966736
12,0.30000486969947815,0.30001673102378845,0.3000103831291199,0.9000319242477417
13,0.2999744117259979,0.2999909520149231,0.29996874928474426,0.8999340534210205
14,0.3000037670135498,0.3000272214412689,0.2999967038631439,0.9000276327133179
15,0.3000014126300812,0.30002063512802124,0.300011545419693,0.9000334143638611
16,0.3000178933143616,0.300006240606308,0.30001798272132874,0.9000423550605774
17,0.2999812066555023,0.3000103235244751,0.29998108744621277,0.8999724984169006
18,0.3000033497810364,0.2999928593635559,0.2999981939792633,0.8999943733215332
19,0.3000076711177826,0.30001142621040344,0.299985408782959,0.9000043869018555
20,0.29995298385620117,0.2999940514564514,0.2999657094478607,0.8999125957489014
21,0.30000337958335876,0.30001384019851685,0.29998764395713806,0.9000049233436584
22,0.3000594973564148,0.2999991476535797,0.300004243850708,0.9000628590583801
23,0.300047367811203,0.3000320494174957,0.2999831438064575,0.9000625014305115
24,0.30000749230384827,0.3000012934207916,0.29999688267707825,0.9000056385993958
