epoch,FaceRecoModel_1_loss,FaceRecoModel_2_loss,FaceRecoModel_loss,loss
0,0.09999678283929825,0.10000213980674744,0.1000014990568161,0.30000039935112
1,0.09999851882457733,0.10000003129243851,0.10000302642583847,0.3000015914440155
2,0.10000119358301163,0.10000032186508179,0.0999988242983818,0.30000030994415283
3,0.09999904036521912,0.10000205039978027,0.10000314563512802,0.3000042736530304
4,0.09999678283929825,0.0999993234872818,0.10000218451023102,0.29999828338623047
5,0.10000372678041458,0.09999356418848038,0.0999983474612236,0.29999563097953796
6,0.10000753402709961,0.10000434517860413,0.10000746697187424,0.30001935362815857
7,0.09999354183673859,0.10000469535589218,0.09999994933605194,0.2999981939792633
8,0.09998610615730286,0.10000123083591461,0.10000679641962051,0.2999941408634186
9,0.09999506920576096,0.100014828145504,0.09997445344924927,0.299984335899353
10,0.09999602288007736,0.10000595450401306,0.0999954417347908,0.29999738931655884
11,0.10001232475042343,0.0999927967786789,0.10000495612621307,0.300010085105896
12,0.09997943788766861,0.09999176859855652,0.10001428425312042,0.29998546838760376
13,0.09999895095825195,0.09998731315135956,0.1000203862786293,0.3000066876411438
14,0.10001059621572495,0.09994816035032272,0.10000430047512054,0.2999630868434906
15,0.10001343488693237,0.10005372762680054,0.10001470893621445,0.30008184909820557
16,0.09999863803386688,0.09999582171440125,0.10001690685749054,0.30001142621040344
17,0.09997053444385529,0.10000450909137726,0.09999708831310272,0.29997214674949646
18,0.10003601014614105,0.09992515295743942,0.0999283418059349,0.299889475107193
19,0.09966247528791428,0.10024993121623993,0.10039093345403671,0.3003033995628357
20,0.10006845742464066,0.0999087318778038,0.09996180236339569,0.2999390661716461
21,0.09994854032993317,0.10003623366355896,0.10008448362350464,0.3000692129135132
22,0.09999769926071167,0.0998954176902771,0.09998124837875366,0.29987433552742004
23,0.10002248734235764,0.1000770851969719,0.09996271133422852,0.30006229877471924
24,0.10004320740699768,0.09993474185466766,0.09995116293430328,0.29992908239364624
25,0.10001468658447266,0.10003525763750076,0.10001399368047714,0.30006393790245056
26,0.10000161081552505,0.10001642256975174,0.09991481155157089,0.2999328076839447
27,0.10006341338157654,0.1001928523182869,0.10013587772846222,0.30039212107658386
28,0.09997851401567459,0.09997865557670593,0.09996975213289261,0.29992690682411194
29,0.10001622140407562,0.09998279809951782,0.1000230610370636,0.30002209544181824
30,0.10000160336494446,0.09999296069145203,0.10002700984477997,0.30002161860466003
31,0.09999120980501175,0.09999894350767136,0.09998785704374313,0.29997801780700684
32,0.09998274594545364,0.09998802840709686,0.10001726448535919,0.2999880313873291
33,0.09998811781406403,0.09999950230121613,0.10000140219926834,0.2999890148639679
34,0.10002449154853821,0.09998161345720291,0.10001037269830704,0.30001649260520935
35,0.09999582171440125,0.09999088943004608,0.09999164938926697,0.2999783456325531
36,0.09998062252998352,0.09994571655988693,0.09999799728393555,0.2999243438243866
37,0.1000429317355156,0.10003147274255753,0.09998475760221481,0.30005913972854614
38,0.10002600401639938,0.10002771019935608,0.10000687837600708,0.30006060004234314
39,0.10000573843717575,0.09997406601905823,0.09999124705791473,0.2999710738658905
40,0.09996368736028671,0.10004056245088577,0.10002002120018005,0.30002421140670776
41,0.10000436007976532,0.10002855956554413,0.09998802095651627,0.3000209331512451
42,0.10000307112932205,0.10001058876514435,0.10001659393310547,0.30003026127815247
43,0.09998016059398651,0.10000099241733551,0.0999920591711998,0.29997318983078003
44,0.0999697744846344,0.10000057518482208,0.09996689110994339,0.2999372184276581
45,0.10001178085803986,0.10001426935195923,0.10000337660312653,0.3000294268131256
46,0.10003020614385605,0.10000895708799362,0.10000062733888626,0.3000398278236389
47,0.1000184565782547,0.1000250056385994,0.0999775156378746,0.3000209927558899
48,0.09999233484268188,0.09998339414596558,0.10000163316726685,0.2999773621559143
49,0.10001622140407562,0.10003361105918884,0.0999877005815506,0.30003753304481506
