epoch,FinRecoModel_1_loss,FinRecoModel_2_loss,FinRecoModel_loss,loss
0,0.3998766243457794,0.4000231623649597,0.39976269006729126,1.199662446975708
1,0.4001566767692566,0.400019109249115,0.4000701904296875,1.2002458572387695
2,0.39971622824668884,0.4000248312950134,0.4003666937351227,1.2001076936721802
3,0.4000454246997833,0.40027302503585815,0.40004512667655945,1.2003635168075562
4,0.3999311923980713,0.39993107318878174,0.3999788165092468,1.1998409032821655
5,0.400075763463974,0.40006116032600403,0.3998372256755829,1.1999741792678833
6,0.40006887912750244,0.4001522362232208,0.3999553620815277,1.2001763582229614
7,0.40004074573516846,0.3999318778514862,0.40013188123703003,1.2001045942306519
8,0.40004223585128784,0.3999849259853363,0.39992964267730713,1.1999568939208984
9,0.3999934792518616,0.4000844955444336,0.39993762969970703,1.200015664100647
10,0.40003517270088196,0.39992716908454895,0.4000556468963623,1.2000181674957275
11,0.39992907643318176,0.4000904858112335,0.39990347623825073,1.199923038482666
12,0.3998416066169739,0.39992615580558777,0.39983323216438293,1.1996008157730103
13,0.40009716153144836,0.4002830982208252,0.4003182351589203,1.2006986141204834
14,0.39995110034942627,0.40007439255714417,0.400114506483078,1.2001399993896484
15,0.4000997245311737,0.39997127652168274,0.40002676844596863,1.2000977993011475
16,0.40000542998313904,0.3999072313308716,0.40000805258750916,1.1999207735061646
17,0.4000025987625122,0.40001946687698364,0.3999398946762085,1.1999619007110596
18,0.3999721109867096,0.39999961853027344,0.4000318646430969,1.2000038623809814
19,0.40010735392570496,0.4000552296638489,0.40002673864364624,1.200189232826233
20,0.40003108978271484,0.40000149607658386,0.4000207483768463,1.2000535726547241
21,0.39996376633644104,0.40001484751701355,0.3999890089035034,1.199967384338379
22,0.3999977111816406,0.39999693632125854,0.4000156819820404,1.2000102996826172
23,0.40000462532043457,0.40000298619270325,0.4000159502029419,1.2000235319137573
24,0.400005578994751,0.3999773859977722,0.39999154210090637,1.199974536895752
25,0.39997565746307373,0.3999674916267395,0.39997509121894836,1.199918270111084
26,0.4000021815299988,0.4000042676925659,0.40002167224884033,1.2000281810760498
27,0.3999881446361542,0.39999619126319885,0.3999634087085724,1.199947714805603
28,0.39999234676361084,0.39996597170829773,0.3999883532524109,1.1999468803405762
29,0.39999309182167053,0.4000075161457062,0.39999616146087646,1.1999967098236084
30,0.4000512957572937,0.4000262916088104,0.39996859431266785,1.200046181678772
31,0.39998188614845276,0.3998812139034271,0.4000004827976227,1.1998636722564697
32,0.40006256103515625,0.3999568223953247,0.3998219966888428,1.1998412609100342
33,0.40005165338516235,0.40000778436660767,0.3999396562576294,1.1999990940093994
34,0.400218665599823,0.40003737807273865,0.4000040292739868,1.200260043144226
35,0.40003570914268494,0.3999757766723633,0.39999106526374817,1.2000025510787964
36,0.3999454379081726,0.39985600113868713,0.39999881386756897,1.1998002529144287
37,0.39991092681884766,0.40010836720466614,0.4002229571342468,1.2002421617507935
38,0.40001416206359863,0.399807333946228,0.40001967549324036,1.1998411417007446
39,0.39993512630462646,0.40023717284202576,0.40056172013282776,1.2007341384887695
40,0.3999338150024414,0.4001478850841522,0.39998379349708557,1.2000653743743896
41,0.4000118374824524,0.4000079035758972,0.40004050731658936,1.2000601291656494
42,0.3999618589878082,0.4000130593776703,0.4000072479248047,1.1999821662902832
43,0.3999701738357544,0.4000507593154907,0.3999842405319214,1.200005292892456
44,0.3999994993209839,0.39993777871131897,0.4000423848628998,1.1999797821044922
45,0.3999681770801544,0.4000137746334076,0.3999808430671692,1.1999626159667969
46,0.4000565707683563,0.40007320046424866,0.4000111520290375,1.2001408338546753
47,0.3999932110309601,0.3999886214733124,0.39996886253356934,1.1999506950378418
48,0.39998409152030945,0.3999810516834259,0.4000149071216583,1.1999801397323608
49,0.40003547072410583,0.3999553322792053,0.400066077709198,1.2000566720962524
